round,steps,coins_collected,bombs_dropped,crates_destroyed,killed_self,invalid_actions,kills,killed_by_opponent,total_reward,epsilon
3120,232,4,16,33,0,0,0,1,-425.0,0.1
3121,70,4,7,16,0,0,0,1,-61.0,0.1
3122,232,4,12,28,1,2,1,0,-397.0,0.1
3123,143,4,10,28,1,1,0,0,-246.0,0.1
3124,133,2,9,26,0,3,0,1,-183.0,0.1
3125,400,2,37,50,0,1,0,0,-1068.0,0.1
3126,46,1,3,9,1,0,0,0,-194.0,0.1
3127,6,0,1,2,1,0,0,0,-39.0,0.1
3128,21,0,3,10,1,0,0,0,-69.0,0.1
3129,7,0,1,3,1,0,0,0,-34.0,0.1
3130,112,5,10,30,1,1,0,0,-96.0,0.1
3131,46,0,6,14,1,0,0,0,-150.0,0.1
3132,193,3,19,40,1,0,0,0,-220.0,0.1
3133,199,1,16,39,1,0,0,0,-248.0,0.1
3134,90,2,8,21,0,1,0,1,-155.0,0.1
3135,43,0,6,16,1,0,0,0,-103.0,0.1
3136,167,1,17,33,1,0,0,0,-172.0,0.1
